"edo_min","nombre_distrito","cve_edo","cve_dtto","cve_edo_dtto","pan","pri","prd","pvem","pt","movimiento_ciudadano","nueva_alianza","morena","encuentro_social","pan_prd_mc","pan_prd","pan_mc","prd_mc","pri_pvem_na","pri_pvem","pri_na","pvem_na","pt_morena_pes","pt_morena","pt_pes","morena_pes","cand_ind_01","cand_ind_02","cnr","vn","total_votos_calculados","lista_nominal_casilla","v_meade","v_amlo","v_anaya","v_bronco","v_nulos_bis","v_validos"
"Jalisco","LAGOS DE MORENO","14","02","1402",51176,20477,1580,3769,4407,16756,1778,31247,1710,1362,226,1212,121,150,293,51,38,1095,317,57,247,330,12829,93,4390,155711,258838,26556,39080,72433,12829,4720,150991
"Jalisco","TEPATITLAN DE MORELOS","14","03","1403",70018,23026,1411,4455,4902,17232,2781,29158,2437,1219,235,1050,100,151,257,62,47,966,338,67,251,71,19970,195,6774,187173,328995,30779,38119,91265,19970,6845,180328
"Jalisco","ZAPOPAN","14","04","1404",39209,20907,1123,1613,6872,10080,1233,56094,2634,1104,161,722,59,341,293,106,42,2506,699,146,429,283,12529,225,4036,163446,288644,24535,69380,52458,12529,4319,159127
"Jalisco","PUERTO VALLARTA","14","05","1405",17538,15781,1459,1911,8121,16818,779,75048,2689,660,98,492,119,154,190,45,21,2104,817,115,557,194,6968,119,4876,157673,282715,18881,89451,37184,6968,5070,152603
"Jalisco","ZAPOPAN","14","06","1406",51583,18958,1034,1485,6618,11483,975,57842,2787,1478,177,825,89,364,339,119,27,2594,822,136,503,23,14718,223,4033,179235,317604,22267,71302,66669,14718,4056,175179
"Jalisco","TONALA","14","07","1407",21988,16885,738,1553,7357,11493,1304,51659,2583,776,73,539,52,242,264,63,36,2485,781,165,489,370,11650,113,3298,136956,253691,20347,65519,35659,11650,3668,133288
"Jalisco","GUADALAJARA","14","08","1408",75318,25053,1015,1342,6910,11483,1236,65858,2912,1915,319,1122,60,437,305,83,65,2686,745,122,542,176,14837,269,4355,219165,326903,28521,79775,91232,14837,4531,214634
"Jalisco","GUADALAJARA","14","09","1409",32502,20953,1092,1770,8291,12032,1229,67718,3513,975,136,908,118,321,367,85,40,2887,944,139,686,145,14170,137,5355,176513,304686,24765,84178,47763,14170,5500,171013
"Jalisco","ZAPOPAN","14","10","1410",78571,16414,937,1107,4959,9466,1063,45928,2457,2108,252,1036,74,325,254,74,42,2297,636,120,452,102,11312,217,3243,183446,294222,19279,56849,92444,11312,3345,180101
"Jalisco","GUADALAJARA","14","11","1411",38860,23784,1046,1606,8454,12489,1174,70801,3521,1181,159,1075,96,391,356,107,35,3230,998,217,766,114,16245,176,4986,191867,312174,27453,87987,54906,16245,5100,186767
